scenario	mod	n	k	tier	ticks	runs	avg_ms	min_ms	max_ms	whole_us	belts_us	entity_us	script_us	throughput	balance	factorio	date	note
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.2035	0.0500	9.2420	183.66	54.06	2.62	1.41	0	n/a	2.0.77	2026-08-02	gcpass2 idle-collected-r4
control-idle	none	200	4	express	3600	2	0.1820	0.0750	2.3460	180.77	52.98	1.73	1.44	0	n/a	2.0.77	2026-08-02	gcpass2 idle-control-r4
saturated	better-belt-balancer_0.1.0	200	4	express	3600	2	0.6300	0.1820	10.1570	622.49	137.21	343.80	2.13	1740000	1.001	2.0.77	2026-08-02	gcpass2 sat-leaking-r5
saturated	better-belt-balancer_0.1.0	200	4	express	3600	2	0.7565	0.2060	6.1260	724.93	178.05	390.56	2.31	1740000	1.001	2.0.77	2026-08-02	gcpass2 sat-collected-r5
control	none	200	4	express	3600	2	0.5940	0.2230	2.7930	585.15	126.34	316.42	1.80	1729600	1.000	2.0.77	2026-08-02	gcpass2 sat-control-r5
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.1940	0.0710	2.7920	183.51	52.87	2.64	1.56	0	n/a	2.0.77	2026-08-02	gcpass2 idle-leaking-r5
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.2355	0.0740	7.6400	204.70	60.56	2.79	1.82	0	n/a	2.0.77	2026-08-02	gcpass2 idle-collected-r5
control-idle	none	200	4	express	3600	2	0.1905	0.0690	2.0500	204.30	59.91	2.22	1.59	0	n/a	2.0.77	2026-08-02	gcpass2 idle-control-r5
saturated	better-belt-balancer_0.1.0	200	4	express	3600	2	0.8300	0.1960	6.0000	1092.62	128.45	267.45	552.14	1740000	1.001	2.0.77	2026-08-03	gcround6
control	none	200	4	express	3600	2	0.4860	0.1960	2.2610	480.51	133.05	234.55	1.86	1729600	1.000	2.0.77	2026-08-03	gcround6
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.4080	0.0690	4.5680	692.57	50.05	2.70	511.65	0	n/a	2.0.77	2026-08-03	gcround6
control-idle	none	200	4	express	3600	2	0.1800	0.0700	2.0340	157.69	47.67	1.73	1.32	0	n/a	2.0.77	2026-08-03	gcround6
saturated	better-belt-balancer_0.1.0	200	4	express	3600	2	0.8180	0.1930	4.7480	1232.97	143.70	304.84	630.58	1740000	1.001	2.0.77	2026-08-03	gcround6
control	none	200	4	express	3600	2	0.4990	0.2230	1.8480	497.25	134.84	243.77	1.80	1729600	1.000	2.0.77	2026-08-03	gcround6
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.4125	0.0780	4.4630	689.86	46.70	2.62	520.50	0	n/a	2.0.77	2026-08-03	gcround6
control-idle	none	200	4	express	3600	2	0.1740	0.0670	1.7020	184.02	56.82	1.73	1.38	0	n/a	2.0.77	2026-08-03	gcround6
saturated	better-belt-balancer_0.1.0	200	4	express	3600	2	0.7980	0.2020	5.0830	1169.52	133.62	290.87	593.65	1740000	1.001	2.0.77	2026-08-03	gcround6
control	none	200	4	express	3600	2	0.4620	0.1930	1.8550	464.94	133.73	219.97	1.88	1729600	1.000	2.0.77	2026-08-03	gcround6
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.4180	0.0880	4.6730	703.18	50.32	2.73	520.65	0	n/a	2.0.77	2026-08-03	gcround6
control-idle	none	200	4	express	3600	2	0.1935	0.0680	1.8260	162.81	48.71	1.74	1.44	0	n/a	2.0.77	2026-08-03	gcround6
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.1795	0.0680	3.2480	169.20	50.81	2.61	1.36	0	n/a	2.0.77	2026-08-03	gcround6-leaking-arm
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.4775	0.0760	5.9910	880.77	65.46	4.31	652.34	0	n/a	2.0.77	2026-08-03	gcround6-collected-rerun
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.4910	0.0710	5.4150	792.60	63.10	3.61	575.15	0	n/a	2.0.77	2026-08-03	gcround6-prelatch-guest
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.2295	0.0490	6.2240	179.97	52.96	2.56	1.53	0	n/a	2.0.77	2026-08-04	
control-idle	none	200	4	express	3600	2	0.2025	0.0590	2.4620	125.04	34.15	1.77	1.65	0	n/a	2.0.77	2026-08-04	
saturated	better-belt-balancer_0.1.0	200	4	express	3600	2	0.6625	0.2040	5.6750	711.35	168.75	383.36	2.67	1740000	1.001	2.0.77	2026-08-04	
control	none	200	4	express	3600	2	0.6035	0.2640	2.3290	541.70	127.15	280.24	1.98	1729600	1.000	2.0.77	2026-08-04	
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.2205	0.0590	5.9750	203.02	56.68	2.90	2.06	0	n/a	2.0.77	2026-08-04	
control-idle	none	200	4	express	3600	2	0.1875	0.0710	1.9590	177.63	53.79	1.74	1.40	0	n/a	2.0.77	2026-08-04	
saturated	better-belt-balancer_0.1.0	200	4	express	3600	2	0.7625	0.2210	5.5330	758.79	192.01	406.76	2.75	1740000	1.001	2.0.77	2026-08-04	
control	none	200	4	express	3600	2	0.5930	0.2300	2.5730	609.96	128.29	323.28	2.09	1729600	1.000	2.0.77	2026-08-04	
idle	better-belt-balancer_0.1.0	200	4	express	3600	2	0.2075	0.0760	5.4400	199.96	57.52	2.90	1.81	0	n/a	2.0.77	2026-08-04	
control-idle	none	200	4	express	3600	2	0.2050	0.0570	2.3610	168.01	46.35	2.09	1.47	0	n/a	2.0.77	2026-08-04	
mega	better-belt-balancer_0.1.0	40	4	express	2400	1	1.9090	0.4700	408.4040					1864586	1.009	2.0.77	2026-08-05	mega hitch saturated
mega-idle	better-belt-balancer_0.1.0	40	4	express	2400	1	0.6420	0.0750	158.8380					0	n/a	2.0.77	2026-08-05	mega hitch idle
mega	better-belt-balancer_0.1.0	40	4	express	2400	1	1.9090	0.4590	423.7760					1864586	1.009	2.0.77	2026-08-05	mega hitch saturated r2
mega	better-belt-balancer_0.1.0	40	4	express	3600	2	0.9345	0.4470	8.1650	881.27	218.96	529.04	3.60	3192037	1.003	2.0.77	2026-08-05	mega r1
mega-control	none	40	4	express	3600	2	0.7870	0.3720	3.1330	781.10	201.90	457.39	3.44	3190402	1.000	2.0.77	2026-08-05	mega r1
mega-idle	better-belt-balancer_0.1.0	40	4	express	3600	2	0.2240	0.0740	8.2640	188.42	56.33	2.47	2.80	0	n/a	2.0.77	2026-08-05	mega r1
mega-control-idle	none	40	4	express	3600	2	0.1935	0.0730	3.1080	182.49	55.17	1.66	2.49	0	n/a	2.0.77	2026-08-05	mega r1
mega	better-belt-balancer_0.1.0	40	4	express	3600	2	1.0160	0.4610	8.5740	946.26	237.57	551.68	3.89	3192037	1.003	2.0.77	2026-08-05	mega r2
mega-control	none	40	4	express	3600	2	0.8145	0.3610	6.1010	859.53	234.10	480.84	3.74	3190402	1.000	2.0.77	2026-08-05	mega r2
mega-idle	better-belt-balancer_0.1.0	40	4	express	3600	2	0.2110	0.0760	8.3590	171.91	50.86	2.50	3.09	0	n/a	2.0.77	2026-08-05	mega r2
mega-control-idle	none	40	4	express	3600	2	0.1700	0.0820	3.0830	164.18	49.99	1.69	2.59	0	n/a	2.0.77	2026-08-05	mega r2
mega	better-belt-balancer_0.1.0	40	4	express	3600	2	0.9485	0.4290	8.4960	863.58	217.52	515.63	3.69	3192037	1.003	2.0.77	2026-08-05	mega r3
mega-control	none	40	4	express	3600	2	0.8225	0.4060	3.0860	769.95	205.12	445.12	3.92	3190402	1.000	2.0.77	2026-08-05	mega r3
mega-idle	better-belt-balancer_0.1.0	40	4	express	3600	2	0.2240	0.0740	8.1620	186.10	55.39	2.45	2.89	0	n/a	2.0.77	2026-08-05	mega r3
mega-control-idle	none	40	4	express	3600	2	0.1895	0.0680	2.9830	184.34	54.66	1.69	2.92	0	n/a	2.0.77	2026-08-05	mega r3
